127.0.0.1 - - [18/May/2020:18:27:55 +0530] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [18/May/2020:18:28:01 +0530] "GET /AJAXJQuery/ HTTP/1.1" 404 1089
0:0:0:0:0:0:0:1 - - [18/May/2020:18:28:29 +0530] "GET /AJAXJQuery/MyJQuery.html HTTP/1.1" 200 331
0:0:0:0:0:0:0:1 - - [18/May/2020:18:28:29 +0530] "GET /AJAXJQuery/jquery.js HTTP/1.1" 200 287630
0:0:0:0:0:0:0:1 - - [18/May/2020:18:28:34 +0530] "GET /AJAXJQuery/home.jsp HTTP/1.1" 200 26
0:0:0:0:0:0:0:1 - - [18/May/2020:18:29:11 +0530] "GET /AJAXJQuery/MyJQuery.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/May/2020:18:29:11 +0530] "GET /AJAXJQuery/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/May/2020:18:32:48 +0530] "GET /AJAXJQuery/MyJQuery.html HTTP/1.1" 200 436
0:0:0:0:0:0:0:1 - - [18/May/2020:18:32:48 +0530] "GET /AJAXJQuery/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/May/2020:18:32:49 +0530] "GET /AJAXJQuery/MyJQuery.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/May/2020:18:32:49 +0530] "GET /AJAXJQuery/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/May/2020:18:32:50 +0530] "GET /AJAXJQuery/MyJQuery.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/May/2020:18:32:50 +0530] "GET /AJAXJQuery/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/May/2020:18:32:54 +0530] "GET /AJAXJQuery/MyJQuery.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/May/2020:18:32:54 +0530] "GET /AJAXJQuery/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/May/2020:18:32:56 +0530] "GET /AJAXJQuery/MyJQuery.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/May/2020:18:32:56 +0530] "GET /AJAXJQuery/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/May/2020:18:33:09 +0530] "GET /AJAXJQuery/MyJQuery.html HTTP/1.1" 200 437
0:0:0:0:0:0:0:1 - - [18/May/2020:18:33:09 +0530] "GET /AJAXJQuery/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/May/2020:18:33:10 +0530] "GET /AJAXJQuery/MyJQuery.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/May/2020:18:33:10 +0530] "GET /AJAXJQuery/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/May/2020:18:33:11 +0530] "POST /AJAXJQuery/home.jsp HTTP/1.1" 200 26
0:0:0:0:0:0:0:1 - - [18/May/2020:18:33:13 +0530] "GET /AJAXJQuery/MyJQuery.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/May/2020:18:33:13 +0530] "GET /AJAXJQuery/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/May/2020:18:33:14 +0530] "POST /AJAXJQuery/home.jsp HTTP/1.1" 200 26
0:0:0:0:0:0:0:1 - - [18/May/2020:18:35:59 +0530] "GET /AJAXJQuery/MyJQuery.html HTTP/1.1" 200 562
0:0:0:0:0:0:0:1 - - [18/May/2020:18:35:59 +0530] "GET /AJAXJQuery/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/May/2020:18:36:00 +0530] "GET /AJAXJQuery/MyJQuery.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/May/2020:18:36:00 +0530] "GET /AJAXJQuery/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/May/2020:18:36:07 +0530] "GET /AJAXJQuery/home.jsp?name=Aman HTTP/1.1" 200 23
0:0:0:0:0:0:0:1 - - [18/May/2020:18:36:14 +0530] "GET /AJAXJQuery/MyJQuery.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/May/2020:18:36:14 +0530] "GET /AJAXJQuery/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/May/2020:18:36:17 +0530] "GET /AJAXJQuery/MyJQuery.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/May/2020:18:36:17 +0530] "GET /AJAXJQuery/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/May/2020:18:36:18 +0530] "GET /AJAXJQuery/MyJQuery.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/May/2020:18:36:18 +0530] "GET /AJAXJQuery/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/May/2020:18:36:18 +0530] "GET /AJAXJQuery/MyJQuery.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/May/2020:18:36:18 +0530] "GET /AJAXJQuery/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/May/2020:18:36:27 +0530] "GET /AJAXJQuery/MyJQuery.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/May/2020:18:36:27 +0530] "GET /AJAXJQuery/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/May/2020:18:36:28 +0530] "GET /AJAXJQuery/MyJQuery.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/May/2020:18:36:28 +0530] "GET /AJAXJQuery/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/May/2020:18:36:32 +0530] "GET /AJAXJQuery/MyJQuery.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/May/2020:18:36:32 +0530] "GET /AJAXJQuery/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/May/2020:18:36:35 +0530] "GET /AJAXJQuery/MyJQuery.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/May/2020:18:36:35 +0530] "GET /AJAXJQuery/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/May/2020:18:36:38 +0530] "GET /AJAXJQuery/MyJQuery.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/May/2020:18:36:38 +0530] "GET /AJAXJQuery/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/May/2020:18:36:41 +0530] "GET /AJAXJQuery/MyJQuery.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/May/2020:18:36:41 +0530] "GET /AJAXJQuery/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/May/2020:18:36:57 +0530] "GET /AJAXJQuery/home.jsp HTTP/1.1" 200 23
0:0:0:0:0:0:0:1 - - [18/May/2020:18:36:59 +0530] "GET /AJAXJQuery/home.jsp HTTP/1.1" 200 23
0:0:0:0:0:0:0:1 - - [18/May/2020:18:37:09 +0530] "GET /AJAXJQuery/MyJQuery.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/May/2020:18:37:09 +0530] "GET /AJAXJQuery/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/May/2020:18:37:14 +0530] "GET /AJAXJQuery/home.jsp?name=raman HTTP/1.1" 200 24
0:0:0:0:0:0:0:1 - - [18/May/2020:18:38:28 +0530] "GET /AJAXJQuery/MyJQuery.html HTTP/1.1" 200 564
0:0:0:0:0:0:0:1 - - [18/May/2020:18:38:28 +0530] "GET /AJAXJQuery/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/May/2020:18:38:29 +0530] "GET /AJAXJQuery/MyJQuery.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/May/2020:18:38:29 +0530] "GET /AJAXJQuery/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/May/2020:18:38:36 +0530] "GET /AJAXJQuery/home.jsp HTTP/1.1" 200 23
0:0:0:0:0:0:0:1 - - [18/May/2020:18:38:37 +0530] "GET /AJAXJQuery/home.jsp HTTP/1.1" 200 23
0:0:0:0:0:0:0:1 - - [18/May/2020:18:38:49 +0530] "GET /AJAXJQuery/MyJQuery.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/May/2020:18:38:49 +0530] "GET /AJAXJQuery/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/May/2020:18:38:53 +0530] "POST /AJAXJQuery/home.jsp HTTP/1.1" 200 25
0:0:0:0:0:0:0:1 - - [18/May/2020:18:38:56 +0530] "GET /AJAXJQuery/MyJQuery.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/May/2020:18:38:56 +0530] "GET /AJAXJQuery/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/May/2020:18:38:57 +0530] "POST /AJAXJQuery/home.jsp HTTP/1.1" 200 25
0:0:0:0:0:0:0:1 - - [18/May/2020:18:40:24 +0530] "GET /AJAXJQuery/MyJQuery.html HTTP/1.1" 200 595
