127.0.0.1 - - [02/Jun/2020:22:38:30 +0530] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [02/Jun/2020:22:38:33 +0530] "GET /TheStruts/display.jsp HTTP/1.1" 200 122
0:0:0:0:0:0:0:1 - - [02/Jun/2020:22:38:57 +0530] "GET /TheStruts/display.jsp HTTP/1.1" 200 122
0:0:0:0:0:0:0:1 - - [02/Jun/2020:22:39:01 +0530] "GET /TheStruts/display.jsp HTTP/1.1" 200 122
0:0:0:0:0:0:0:1 - - [02/Jun/2020:22:39:08 +0530] "GET /TheStruts/display.jsp HTTP/1.1" 200 122
0:0:0:0:0:0:0:1 - - [02/Jun/2020:22:39:10 +0530] "GET /TheStruts/display.jsp HTTP/1.1" 200 122
0:0:0:0:0:0:0:1 - - [02/Jun/2020:22:39:13 +0530] "GET /TheStruts/display.jsp HTTP/1.1" 200 122
0:0:0:0:0:0:0:1 - - [02/Jun/2020:22:39:13 +0530] "GET /TheStruts/display.jsp HTTP/1.1" 200 122
0:0:0:0:0:0:0:1 - - [02/Jun/2020:22:39:18 +0530] "GET /TheStruts/display HTTP/1.1" 404 1137
0:0:0:0:0:0:0:1 - - [02/Jun/2020:22:39:24 +0530] "GET /TheStruts/display HTTP/1.1" 404 1137
0:0:0:0:0:0:0:1 - - [02/Jun/2020:22:39:26 +0530] "GET /TheStruts/display HTTP/1.1" 404 1137
0:0:0:0:0:0:0:1 - - [02/Jun/2020:22:40:38 +0530] "GET /TheStruts/display HTTP/1.1" 404 1137
0:0:0:0:0:0:0:1 - - [02/Jun/2020:22:40:42 +0530] "GET /TheStruts/display HTTP/1.1" 404 1137
0:0:0:0:0:0:0:1 - - [02/Jun/2020:22:41:53 +0530] "GET /TheStruts/insert HTTP/1.1" 404 1138
0:0:0:0:0:0:0:1 - - [02/Jun/2020:22:41:59 +0530] "GET /TheStruts/index.jsp HTTP/1.1" 200 781
0:0:0:0:0:0:0:1 - - [02/Jun/2020:22:42:01 +0530] "GET /TheStruts/index.jsp HTTP/1.1" 200 781
0:0:0:0:0:0:0:1 - - [02/Jun/2020:22:42:10 +0530] "POST /TheStruts/product.action HTTP/1.1" 404 1137
0:0:0:0:0:0:0:1 - - [02/Jun/2020:22:43:35 +0530] "POST /TheStruts/product.action HTTP/1.1" 404 1137
0:0:0:0:0:0:0:1 - - [02/Jun/2020:22:43:37 +0530] "POST /TheStruts/product.action HTTP/1.1" 404 1137
0:0:0:0:0:0:0:1 - - [02/Jun/2020:22:46:14 +0530] "POST /TheStruts/product.action HTTP/1.1" 200 74
0:0:0:0:0:0:0:1 - - [02/Jun/2020:22:46:24 +0530] "GET /TheStruts/display HTTP/1.1" 200 547
0:0:0:0:0:0:0:1 - - [02/Jun/2020:22:46:30 +0530] "GET /TheStruts/delete?id=90 HTTP/1.1" 200 41
0:0:0:0:0:0:0:1 - - [02/Jun/2020:22:46:42 +0530] "GET /TheStruts/display HTTP/1.1" 200 404
0:0:0:0:0:0:0:1 - - [02/Jun/2020:22:53:23 +0530] "GET /TheStruts/display HTTP/1.1" 200 404
0:0:0:0:0:0:0:1 - - [02/Jun/2020:22:53:27 +0530] "GET /TheStruts/edit?id=1 HTTP/1.1" 200 768
0:0:0:0:0:0:0:1 - - [02/Jun/2020:22:54:42 +0530] "GET /TheStruts/edit?id=1 HTTP/1.1" 200 771
0:0:0:0:0:0:0:1 - - [02/Jun/2020:22:54:49 +0530] "GET /TheStruts/display HTTP/1.1" 200 404
0:0:0:0:0:0:0:1 - - [02/Jun/2020:22:54:51 +0530] "GET /TheStruts/edit?id=2 HTTP/1.1" 200 771
0:0:0:0:0:0:0:1 - - [02/Jun/2020:22:55:33 +0530] "GET /TheStruts/edit?id=2 HTTP/1.1" 200 765
0:0:0:0:0:0:0:1 - - [02/Jun/2020:22:55:52 +0530] "GET /TheStruts/display HTTP/1.1" 200 404
0:0:0:0:0:0:0:1 - - [02/Jun/2020:22:55:53 +0530] "GET /TheStruts/display HTTP/1.1" 200 404
0:0:0:0:0:0:0:1 - - [02/Jun/2020:22:55:54 +0530] "GET /TheStruts/display HTTP/1.1" 200 404
0:0:0:0:0:0:0:1 - - [02/Jun/2020:22:55:54 +0530] "GET /TheStruts/display HTTP/1.1" 200 404
0:0:0:0:0:0:0:1 - - [02/Jun/2020:22:55:55 +0530] "GET /TheStruts/edit?id=1 HTTP/1.1" 200 765
0:0:0:0:0:0:0:1 - - [02/Jun/2020:22:56:00 +0530] "GET /TheStruts/edit?id=1 HTTP/1.1" 200 765
